"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"6","0.004073","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=756, FN=0, Flags=.p....F.C"
"12","0.043057","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","189","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=757, FN=0, Flags=.p....F.C"
"21","0.109302","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=758, FN=0, Flags=.p....F.C"
"29","0.201321","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=759, FN=0, Flags=.p....F.C"
"44","0.315003","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=760, FN=0, Flags=.p....F.C"
"59","0.409757","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=761, FN=0, Flags=.p....F.C"
"67","0.513344","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=762, FN=0, Flags=.p....F.C"
"80","0.621380","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=763, FN=0, Flags=.p....F.C"
"89","0.713643","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=764, FN=0, Flags=.p....F.C"
"103","0.822531","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=765, FN=0, Flags=.p....F.C"
