"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"2","0.000049","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-87 dBm","42 dB","144.444","QoS Data, SN=3086, FN=0, Flags=.p....F.C"
"14","0.092334","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3087, FN=0, Flags=.p....F.C"
"28","0.204311","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3088, FN=0, Flags=.p....F.C"
"44","0.310808","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-87 dBm","46 dB","144.444","QoS Data, SN=3089, FN=0, Flags=.p....F.C"
"65","0.403360","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=3090, FN=0, Flags=.p....F.C"
"78","0.503897","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-87 dBm","47 dB","144.444","QoS Data, SN=3091, FN=0, Flags=.p....F.C"
"80","0.504079","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-87 dBm","47 dB","144.444","QoS Data, SN=3091, FN=0, Flags=.p..R.F.C"
"86","0.550784","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","215","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=492, FN=0, Flags=.p....F.C"
"112","0.622233","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","57.7778","QoS Data, SN=3092, FN=0, Flags=.p....F.C"
"123","0.710343","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-87 dBm","46 dB","144.444","QoS Data, SN=3093, FN=0, Flags=.p....F.C"
"153","0.819259","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3094, FN=0, Flags=.p....F.C"
"169","0.929871","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=3095, FN=0, Flags=.p....F.C"
"183","1.024024","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3096, FN=0, Flags=.p....F.C"
"204","1.126520","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3097, FN=0, Flags=.p....F.C"
"216","1.229112","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3098, FN=0, Flags=.p....F.C"
"226","1.331445","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3099, FN=0, Flags=.p....F.C"
"245","1.433924","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3100, FN=0, Flags=.p....F.C"
"257","1.545403","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3101, FN=0, Flags=.p....F.C"
"276","1.640430","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3102, FN=0, Flags=.p....F.C"
"289","1.744106","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-87 dBm","50 dB","144.444","QoS Data, SN=3103, FN=0, Flags=.p....F.C"
"299","1.849509","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3104, FN=0, Flags=.p....F.C"
"313","1.958491","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","86.6667","QoS Data, SN=3105, FN=0, Flags=.p....F.C"
"328","2.050914","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-87 dBm","51 dB","144.444","QoS Data, SN=3106, FN=0, Flags=.p....F.C"
"339","2.152607","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-87 dBm","46 dB","144.444","QoS Data, SN=3107, FN=0, Flags=.p....F.C"
"352","2.257949","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3108, FN=0, Flags=.p....F.C"
"366","2.362579","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3109, FN=0, Flags=.p....F.C"
"383","2.466644","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3110, FN=0, Flags=.p....F.C"
"394","2.566830","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3111, FN=0, Flags=.p....F.C"
"410","2.670564","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3112, FN=0, Flags=.p....F.C"
"440","2.784268","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","86.6667","QoS Data, SN=3113, FN=0, Flags=.p..R.F.C"
"459","2.872909","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-87 dBm","48 dB","144.444","QoS Data, SN=3114, FN=0, Flags=.p....F.C"
"470","2.932898","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3115, FN=0, Flags=.p....F.C"
"478","2.978111","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3116, FN=0, Flags=.p....F.C"
"498","3.082960","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3117, FN=0, Flags=.p....F.C"
"521","3.189021","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=3118, FN=0, Flags=.p....F.C"
"537","3.289068","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3119, FN=0, Flags=.p....F.C"
"551","3.391345","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3120, FN=0, Flags=.p....F.C"
"572","3.502518","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=3121, FN=0, Flags=.p....F.C"
"590","3.594667","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3122, FN=0, Flags=.p....F.C"
"603","3.683540","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-43 dBm","-87 dBm","44 dB","86.6667","QoS Data, SN=3123, FN=0, Flags=.p..R.F.C"
"608","3.699592","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3124, FN=0, Flags=.p....F.C"
"628","3.804482","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3125, FN=0, Flags=.p....F.C"
"656","3.909190","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3127, FN=0, Flags=.p..R.F.C"
"676","4.010944","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3128, FN=0, Flags=.p....F.C"
"697","4.123816","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-87 dBm","45 dB","144.444","QoS Data, SN=3129, FN=0, Flags=.p....F.C"
"714","4.216665","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3130, FN=0, Flags=.p....F.C"
"727","4.318427","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-87 dBm","43 dB","144.444","QoS Data, SN=3131, FN=0, Flags=.p....F.C"
"743","4.421493","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-87 dBm","44 dB","144.444","QoS Data, SN=3132, FN=0, Flags=.p....F.C"
"766","4.524056","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-87 dBm","49 dB","144.444","QoS Data, SN=3133, FN=0, Flags=.p....F.C"
"782","4.628459","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-90 dBm","53 dB","144.444","QoS Data, SN=3134, FN=0, Flags=.p....F.C"
"803","4.747234","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-90 dBm","51 dB","144.444","QoS Data, SN=3135, FN=0, Flags=.p....F.C"
"817","4.813319","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-39 dBm","-90 dBm","51 dB","144.444","QoS Data, SN=3136, FN=0, Flags=.p....F.C"
"823","4.833158","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-90 dBm","51 dB","144.444","QoS Data, SN=3137, FN=0, Flags=.p....F.C"
"838","4.933524","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-90 dBm","53 dB","144.444","QoS Data, SN=3138, FN=0, Flags=.p....F.C"
"851","5.035118","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=3139, FN=0, Flags=.p....F.C"
"873","5.149484","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-90 dBm","51 dB","144.444","QoS Data, SN=3140, FN=0, Flags=.p....F.C"
"887","5.201015","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-38 dBm","-90 dBm","52 dB","144.444","QoS Data, SN=3141, FN=0, Flags=.p....F.C"
"893","5.206284","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-39 dBm","-90 dBm","51 dB","86.6667","QoS Data, SN=3141, FN=0, Flags=.p..R.F.C"
"917","5.262946","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-90 dBm","53 dB","144.444","QoS Data, SN=3142, FN=0, Flags=.p....F.C"
"926","5.308582","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=536, FN=0, Flags=.p....F.C"
"950","5.375363","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3143, FN=0, Flags=.p..R.F.C"
"951","5.375547","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-41 dBm","-90 dBm","49 dB","57.7778","QoS Data, SN=537, FN=0, Flags=.p..R.F.C"
"967","5.447901","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=3144, FN=0, Flags=.p....F.C"
"978","5.484287","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-41 dBm","-90 dBm","49 dB","86.6667","QoS Data, SN=494, FN=0, Flags=.p..R.F.C"
"998","5.556173","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3145, FN=0, Flags=.p....F.C"
"1021","5.650160","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3146, FN=0, Flags=.p....F.C"
"1038","5.750491","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=3147, FN=0, Flags=.p....F.C"
"1060","5.864620","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-90 dBm","50 dB","144.444","QoS Data, SN=3148, FN=0, Flags=.p....F.C"
"1069","5.957403","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3149, FN=0, Flags=.p....F.C"
"1085","6.061314","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-90 dBm","55 dB","144.444","QoS Data, SN=3150, FN=0, Flags=.p....F.C"
"1104","6.164580","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-90 dBm","52 dB","144.444","QoS Data, SN=3151, FN=0, Flags=.p....F.C"
"1120","6.266608","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-90 dBm","52 dB","144.444","QoS Data, SN=3152, FN=0, Flags=.p....F.C"
"1138","6.376692","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-90 dBm","53 dB","144.444","QoS Data, SN=3153, FN=0, Flags=.p....F.C"
"1153","6.469824","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3154, FN=0, Flags=.p....F.C"
"1167","6.571294","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=3155, FN=0, Flags=.p....F.C"
